,seasonal_period,hidden_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10
0,12,3,300,20,10,38636.978,170.16,196.563,425.8966403928399,444.2337400245965,392.21491372820736,523.5049609221221,377.22822126153113,335.18001688179373,394.61460805225374,484.66793193787345,363.4137789341211,313.02473858082294
1,12,4,300,20,10,44388.47,191.842,210.686,481.69999877434975,551.3707364256383,492.2500925554336,505.2439991534353,449.41670498043305,502.3386087433399,473.55093783196816,491.1702261728049,421.1282212995291,504.3189280539454
2,12,5,300,20,10,32117.674,151.242,179.214,452.8218862648607,454.8821227740348,425.8759065383673,459.879532855034,460.5359824348689,413.3156261980832,437.4057930475176,443.8715274605752,443.1139806561471,430.06414514184
3,12,6,300,20,10,37678.702,165.929,194.11,404.65567258334164,474.17109004378324,509.240279008031,486.4131450859905,494.53609186989075,472.53130460885177,468.1814206766487,460.67728758990773,465.8710918899179,467.31479805046325
