Date,Actual,Forecasted,Errors
1993-07-01,744.609,603.8524780539274,140.75652194607267
1994-07-01,1068.362,649.0413089159726,419.32069108402743
1995-07-01,572.614,629.6285260284543,-57.01452602845427
1996-07-01,561.475,611.2904995564222,-49.815499556422196
1997-07-01,577.048,640.6590109903216,-63.611010990321574
1998-07-01,606.675,641.5173520678878,-34.84235206788787
1999-07-01,603.166,630.5150579488874,-27.34905794888732
2000-07-01,519.603,653.7473496062161,-134.1443496062161
2001-07-01,362.91,685.0113447842599,-322.1013447842599
2002-07-01,140.215,633.7951248166561,-493.58012481665605
