,Actual,Forecasted,Errors
1993-07-01,744.609,608.6310738950982,135.97792610490183
1994-07-01,1068.362,529.6435247344831,538.718475265517
1995-07-01,572.614,513.7594559114204,58.85454408857959
1996-07-01,561.475,515.9342814632483,45.54071853675168
1997-07-01,577.048,533.6766013458563,43.37139865414372
1998-07-01,606.675,574.3533066517496,32.32169334825039
1999-07-01,603.166,505.5424984736359,97.62350152636418
2000-07-01,519.603,582.2122851949373,-62.60928519493734
2001-07-01,362.91,610.9716645548613,-248.06166455486124
2002-07-01,140.215,507.7007767260735,-367.4857767260735
